"variable","n_no","n_yes","shapiro_no_p","shapiro_yes_p","bf_p","bf_note"
"energy_usage_joules",180,180,7.69598872244267e-14,1.08344929488624e-10,3.24044701469131e-14,"ok"
"execution_time_sec",180,180,7.8767253880402e-14,1.24725786480281e-10,3.69837029965548e-07,"ok"
"cpu_percent",180,180,2.13929525080974e-12,8.71696542230725e-16,1.03334501657041e-06,"ok"
"memory_usage_mb",180,180,3.35030281613056e-08,1.03775614428561e-12,2.9703009480031e-41,"ok"
"input_size_kb",180,180,2.13368997329589e-19,2.13368997329589e-19,0.317985931527569,"ok"
"output_size_kb",180,180,9.37329534183184e-17,8.1008383875776e-07,2.37914945888563e-19,"ok"
