"mobile","energy_usage_joules_n","energy_usage_joules_mean","energy_usage_joules_median","energy_usage_joules_sd","energy_usage_joules_var","energy_usage_joules_min","energy_usage_joules_max","execution_time_sec_n","execution_time_sec_mean","execution_time_sec_median","execution_time_sec_sd","execution_time_sec_var","execution_time_sec_min","execution_time_sec_max","cpu_percent_n","cpu_percent_mean","cpu_percent_median","cpu_percent_sd","cpu_percent_var","cpu_percent_min","cpu_percent_max","memory_usage_mb_n","memory_usage_mb_mean","memory_usage_mb_median","memory_usage_mb_sd","memory_usage_mb_var","memory_usage_mb_min","memory_usage_mb_max","input_size_kb_n","input_size_kb_mean","input_size_kb_median","input_size_kb_sd","input_size_kb_var","input_size_kb_min","input_size_kb_max","output_size_kb_n","output_size_kb_mean","output_size_kb_median","output_size_kb_sd","output_size_kb_var","output_size_kb_min","output_size_kb_max"
"no",180,346.449290891611,466.6591597,267.293893691736,71446.0256048889,59.48549468,1209.944127,180,55.0292680987167,74.29800713,41.810276688549,1748.09923677302,9.968711853,187.4138982,180,93.0638888888889,95.7,5.18262852453652,26.8596384233395,63.8,100,180,76.7410373263889,75.73046875,4.73618587214064,22.4314566154646,67.1953125,87.66015625,180,0.06103515625,0.06103515625,0.0337853852505443,0.00114145225652769,0.02734375,0.0947265625,180,0.578748915019444,0.34228515625,0.47143493579839,0.222250898691232,0.072265625,1.201171875
"yes",180,769.636853188889,509.7362485,611.021099184824,373346.783649031,52.133833,1991.10391,180,95.4386237222222,59.99582,73.1515964734727,5351.15606661779,10.76892,246.526483,180,84.15,87.05,12.3679912153878,152.967206703911,16,99.2,180,1121.28905406667,1225.7630845,279.452026174466,78093.4349330145,648.835019,1491.100453,180,0.06103515625,0.06103515625,0.0337853852505443,0.00114145225652769,0.02734375,0.0947265625,180,2.53708863147222,2.290201254,1.48179434040631,2.19571446726018,0.229765709,5.944065095
